,project,property_type,price,area,n_bedrooms,n_bathrooms,balcony_direction,legal,posted_date,post_title,post_description,post_id,Cl Gia,area_cl
0,Times City,Apartment,2650.0,75.0,unknown,unknown,unknown,unknown,2020-11-16 00:00:00 UTC,None,"Danh sách căn hộ bán rẻ nhất thị trường hiện tại ở Times City. Hotline: 0976912495 (zalo).Xin gửi tới anh/chị đang quan tâm căn hộ chung cư Times City danh sách căn hộ bán mới giá tốt nhất Times City, liên hệ Em Thắng: 0976912495 để được tư vấn những căn hộ tốt nhất trong tầm giá.Căn 75m2 tòa T1,4,5,6,7 giá 2.65 tỷ bao phí.Căn 87m2 căn hoa hậu tòa T567, giá 3.1 tỷ - 3.3 tỷ bao phí.Căn 90m2 tầng trung tòa T4567, giá 2.9 tỷ - 3.1 tỷ bao phí, full đồ.Căn 94.4m2 tầng trung tòa T1, giá 3 tỷ bao phí, gần như full đồ.Căn 94.4m2 tầng trung hướng nam T4 sửa rất đẹp, full đồ đẹp, xịn giá 3.35 tỷ bao phí.Căn 109m2 tầng đẹp view trực diện nhạc nước tòa T3 giá 3,55 tỷ bao phí, nhà mới nguyên, full nội thất đẹp.Căn góc 97,5m2 view nhạc nước, giá chỉ 3.3 tỷ bao phí, nhà mới.Căn góc 3 phòng ngủ 110m2 giá 4 4.3 tỷ bao phí.Căn 3 phòng ngủ tòa T11 tầng trung giá 4 4.15 tỷ bao phí.Căn 95m2 giá 3 3.1 tỷ bao phí.Căn 118m2 tòa T2,3 giá 3,9 tỷ bao phí.Căn hoa hậu 94,3m2 giá 3,45 tỷ bao phí.Căn 83m2 tầng trung ban công nam tòa T11 giá 3,1 tỷ bao phí.Căn 83m2 tòa T8,9 giá 2.8 tỷ bao phí.Căn 4 phòng ngủ rộng nhất Times 160m2, view nhạc nước giá 7.3 tỷ bao phí.Bên khu Park Hill:Căn góc tòa Park 1 giá 5.1 tỷ bao phí.Căn 70m2 view quảng trường Park Hill giá 2.75 tỷ bao phí.Căn 84 m2 tòa P1 giá 3,4 tỷ bao phí.Căn 80,1m2 tòa park 7 giá 3,15 tỷ bao phí.Căn 3 phòng ngủ hoa hậu tầng trung tòa P3 giá 4.75 tỷ bao phí.Căn góc Đông Nam 3 phòng ngủ tòa P5 giá 4.4 tỷ bao phí.Căn góc 115m2 Park Hill view thoáng đẹp, có 10 năm dịch vụ, giá 4.9 tỷ bao phí.Căn góc 128m2 view đẹp, giá 5.65 tỷ bao phí.Căn 115m2 view và thiết kế siêu đẹp tòa P7, giá 4.9 tỷ.Căn góc Đông Nam 4 phòng ngủ tòa P8 tầng đẹp giá 7.1 tỷ bao phí.Bên Premium:Căn 68m2 có 10 năm miễn dịch vụ giá 2.8 tỷ bao phí.Căn 79m2 tòa P12 giá 3.2 tỷ bao phí.Căn 3 phòng ngủ 118,5m2 full đồ đẹp tòa P12 giá 4,8tỷ bao phí.Căn góc Đông Nam tòa Park 9 giá 5,6 tỷ bao phí, full đồ đẹp.Căn 75m2 view nhạc nước tòa p9, giá 2.9 tỷ bao phí.Căn 79m2 tòa P10 view nhạc nước, giá 3.1 tỷ bao phí.Căn 118,5m2 tòa P11, giá 5 tỷ bao phí.Căn 4 phòng ngủ vip nhất dự án giá 7.75 tỷ bao phí, nhà mới chưa ở, miễn phí 10 năm dịch vụ.Ngoài ra chúng tôi còn rất nhiều căn chủ nhà gửi bán cắt lỗ sâu.Hãy liên hệ: 0976912495 để chọn được căn hộ ưng ý nhất cho gia đình bạn.Tất cả mọi giao dịch quý khách hàng đều làm việc trực tiếp với chủ nhà, chúng tôi sẽ hỗ trợ mọi thủ tục pháp lý liên quan đến quá trình mua bán, chuyển nhượng căn hộ từ khi hai bên ký hợp đồng đặt cọc, ký hợp đồng công chứng đến lúc ra sổ đỏ đứng tên khách hàng.Quý khách hãy liên hệ hotline: 0976912495.",27801162,2-3,50-80
1,Times City,Apartment,2600.0,75.0,2,unknown,unknown,unknown,2020-11-12 00:00:00 UTC,None,"Danh sách căn hộ bán rẻ nhất thị trường hiện tại ở Times City. Hotline: 0941982288 (zalo).Xin gửi tới anh/chị đang quan tâm căn hộ chung cư Times City danh sách căn hộ bán mới giá tốt nhất Times City, liên hệ Thu Huyền: 0941982288 để được tư vấn những căn hộ tốt nhất trong tầm giá.Căn 1 phòng ngủ:+ 53m2, tòa T8, T9. T11 giá 1.9 - 2,05 tỷ, bao toàn bộ phí sang tên sổ đỏ.+ 47m2 - 56m2 tòa P3, P5 giá 2.25 - 2.3 tỷ, bao toàn bộ phí sang tên.+ 56m2 - 58m2 tòa Park 7 - 8 - 12 giá 2.3 - 2.5 tỷ. Bao phí, có đồ.* Căn 2 phòng ngủ:Bên khu T:+ 76m2 tòa T1 - T4 - T5 - T6 - T7 giá 2,6 - 2.8 tỷ, bao phí, có đủ các khoảng tầng.+ 90m2 tòa T4 - T6 T7 T10 giá 2.8 - 3 tỷ, bao phí, có căn thiết kế đẹp.+ 83m2 tòa T8 - T9 căn thiết kế 2PN sáng giá 2,9 - 3 tỷ bao phí.+ 94.3m2 tòa T2 - T3 căn thiết kế đẹp các phòng đều sáng giá 3.3 - 3.5 tỷ.+ 108.7m2 tòa T3 T6 giá 3.4 - 3.6 tỷ, có căn đã sửa thành 3PN đẹp.Bên khu Park Hill:+ 68m2 tòa P9 - P10 giá 2.7 - 3tỷ, bao phí, có suất để xe.+ 70 - 73 tòa P3 - P2 - P5 giá 2.9 - 3,2 tỷ, bao phí, hướng và view rất đẹp.+ 78 - 80m2 tòa P2 - P5 giá 3 - 3.3 tỷ, bao phí.+ Căn 82m tòa P6, P7 view quảng trường giá 3,2 - 3,5 tỷ, bao phí, full đồ.* Căn 3 - 5 phòng ngủ:Bên khu T:+ 95m2 tòa T18 giá 3,1 - 3.3 tỷ (cắt lỗ).+ Các căn góc các tòa 103 - 109 - 110m2 giá từ 3.9 - 4,2 tỷ.+ 119m2 tòa T2 - T3 giá 3.9 - 4,1 tỷ bao phí.+ 160m2 T11 - 4 phòng ngủ - 6 tỷ - 7 tỷ.Bên khu Park và Park Hill Premium:+ 88m tòa P5 giá 3.9 tỷ, bao phí.+ 92m2 tòa P1 - giá 3.9 tỷ.+ 94m tòa P12 giá 4.4 tỷ, bao phí Căn góc thiết kế hợp lý.+ 100m2 tòa P5 - P6 - giá 3.9 tỷ - 4,2 tỷ bao phí, nhà đẹp.+ 117m2 tòa P10 - P12 - P11 giá 4.9 tỷ.+ 128m tòa P2 - P3 giá 5.5 - 5.9 tỷ, bao phí, thiết kế và view đẹp.+ 142m tòa P7 P8 giá 6.4 tỷ, bao phí, tầng trung.+ 136m2 tòa P2 - giá 5.6 tỷ.+ 157m2 tòa P9 giá 7,5 tỷ.+ 178m2 tòa P10 giá 9.5 tỷ.Các tiện ích cư dân được hưởng: Miễn phí dịch vụ 10 năm. Miễn phí bể bơi, sân tennis, sân cầu lông...",27169471,2-3,50-80
2,Times City,Apartment,3100.0,83.0,2,unknown,unknown,unknown,2020-11-18 00:00:00 UTC,None,"Bán căn 2PN - 83m2 T11 Times city.Giá bán: 3,1 tỷ (bao phí).- Diện tích: 83m2.- Thiết kế: Là căn hộ thiết kế vuông vắn vô cùng hợp lý: 2PN, phòng khách rộng, phòng bếp thoáng, không gian căn hộ vô cùng rộng rãi. Nhà lại được nằm trong toà trung tâm nên vô cùng thuận tiện, mật độ cư dân thấp nhất trong các tòa.- Nội thất gồm có: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp, tủ tường, điều hòa 2 chiều,...- Liên hệ xem căn hộ: Khánh Vân 0903450893(zalo, viber, imessage).",27841042,3-4.5,80-100
3,Times City,Apartment,2850.0,83.0,unknown,unknown,Nam,unknown,2020-11-18 00:00:00 UTC,None,"Hiện nay do gia đình không có nhu cầu sử dụng căn hộ cao cấp tại Times City nên có nhu cầu bán chuyển nhượng lại căn hộ.Diện tích: 83m2, sổ đỏ chính chủ và không vay ngân hàng.Ban công hướng Nam, còn 8 năm phí dịch vụ.Nội thất: Nguyên bản CĐT.Giá: 2,85 tỷ bao phí sang tên đổi chủ, phí dịch vụ.Liên hệ: 0913 84 2237.",16642988,2-3,80-100
4,Times City,Apartment,3100.0,83.0,2,unknown,unknown,unknown,2020-11-18 00:00:00 UTC,None,"Rẻ chưa từng có căn 2PN Times City, DT 83m2, toà T11, tầng trung, giá cắt lỗ 3,1 tỷ bao phí.- Gia đình cần bán gấp căn 2PN Times City. DT 83m2. Giá 3,1 tỷ. Nhà rất mới. Đã sửa và thay toàn bộ điều hòa 4 điều hòa. Thông tin căn hộ:- Diện tích: 83m2 là căn hộ thiết kế vuông vắn vô cùng hợp lý: 2PN, phòng khách rộng, phòng bếp thoáng, không gian căn hộ vô cùng rộng rãi. Nhà lại được nằm trong toà trung tâm nên vô cùng thuận tiện, mật độ cư dân thấp nhất trong các tòa.- Nội thất gồm có: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp, tủ tường, điều hòa 2 chiều,...- Giá bán: 3,1 tỷ gia đình thiện chí bao toàn bộ phí sang tên.- Liên hệ xem nhà: 0972429193.",27839133,3-4.5,80-100
5,Times City,Apartment,3050.0,80.0,2,unknown,unknown,có sổ đỏ/sổ hồng,2020-11-18 00:00:00 UTC,None,"Siêu rẻ. Căn hộ 2 phòng ngủ, diện tích 80m2 tại T10 Vinhomes Times City giá 3.050 tỷ bao phí.Thông tin mô tả:- Tầng trung; hướng Nam.- Diện tích và thiết kế: Diện tích 80m2, thiết kế 2 phòng ngủ, 1 nhà vệ sinh.- Hướng: Nam.- Nội thất: Hệ thống đèn chiếu sáng sang trọng, điều hòa âm trần, sàn gỗ, tủ âm tường, bếp, tủ bếp và các thiết bị vệ sinh sang trọng, hiện đại...- Giá: 3.050 tỷ bao toàn bộ thuế phí.- Pháp lý: Căn hộ đã có sổ đỏ chính chủ.Xem nhà liên hệ: 0972429193.",27838657,3-4.5,80-100
6,Times City,Apartment,3600.0,97.5,2,unknown,unknown,unknown,2020-11-18 00:00:00 UTC,None,"Hàng hiếm có khó tìm! Căn 2PN sáng Times City. DT 97,5m2 Đông Nam giá cắt lỗ 3,6 tỷ có đồ. 0972429193.- Gia đình cần bán gấp căn 2PN Times City. DT 97,5m2. Giá 3,6 tỷ. Nhà rất mới. Thông tin căn hộ:- Diện tích: 97,5m2 là căn hộ thiết kế vuông vắn vô cùng hợp lý: Là căn góc nên tất cả phòng đều đón ánh sáng tự nhiên 2PN, phòng khách rộng thoáng, phòng bếp thoáng, không gian căn hộ vô cùng rộng rãi. Nhà lại được nằm trong toà trung tâm của Time nên vô cùng thuận tiện. Ban công Đông Nam View thoáng cực đẹp, không bị chắn tòa.- Nội thất gồm có: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp, tủ tường, điều hòa 2 chiều, bàn ghế, sofa, giường tủ... Gia đình từ khi mua it ở nên còn rất mới.- Giá bán: 3,6 tỷ bao phí.",27838511,3-4.5,80-100
7,Times City,Apartment,4500.0,110.0,3,unknown,unknown,unknown,2020-11-18 00:00:00 UTC,None,"Do gia đình chuyển nơi sinh sống nên cần bán lại căn hộ tại Times City, 458 Minh Khai, Hai Bà Trưng, Hà Nội.- Thiết kế 3PN sáng vuông vắn, 1 phòng khách, 1 bếp, ban công hướng mát.- Nội thất: Tủ âm tường, điều hòa âm trần, đèn chiếu sáng, bếp hồng ngoại, hệ thống hút mùi, sàn gỗ.- Giá: 4.5 tỷ bao phí sang sổ.Liên hệ xem căn hộ: 0962.984.823.",25447709,4.5-7.5,100-150
8,Times City,Apartment,2950.0,82.0,2,unknown,Nam,unknown,2020-11-18 00:00:00 UTC,None,"Do gia đình không có nhu cầu sử dụng nên cần bán lại căn hộ 82m2 tại T08 Times City, 458 Minh Khai, Hai Bà Trưng, HN.- Thiết kế vuông vắn với 2PN sáng, 1 phòng khách, 1 bếp, 2WC, ban công hướng nam view thoáng mát.- Nội thất nguyên bản: Tủ âm tường, sàn gỗ, trần thạch cao, bếp hồng ngoại. Tủ bếp, điều hòa, thiết bị vệ sinh cao cấp.- Giá siêu rẻ: 2.95 tỷ bao phí chuyển nhượng.- Liên hệ xem căn hộ: 0962.984.823.",27533529,2-3,80-100
9,Times City,Apartment,3900.0,116.7,3,unknown,Nam,có sổ đỏ/sổ hồng,2020-11-18 00:00:00 UTC,None,"Chính chủ không có nhu cầu ở nên bán nhanh CH 3PN Times City.- Diện tích 116,7m2, ban công hướng Nam.- Thiết kế 2 loga thông thoáng, sổ đỏ chính chủ.- Giá 3,9 tỷ bao phí.- Liên hệ 0981422866.",26557563,3-4.5,100-150
